0.05,1.0526315789473684,1.0641040280522915
0.10,1.1111111111111112,1.0946777599049313
0.15,1.176678445229682,1.1809702295361835
0.20,1.25,1.278907099447537
0.25,1.3333333333333333,1.324404191752885
0.30,1.4291845493562232,1.432696177636034
0.35,1.5376344086021505,1.528147786960919
0.40,1.6666666666666667,1.6800284069918203
0.45,1.8196721311475408,1.828692791704115
0.50,2.0,2.024760910337384
0.55,2.219512195121951,2.269179065558665
0.60,2.515151515151515,2.561158532343572
0.65,2.8518518518518516,2.8659348685374484
0.70,3.3255813953488373,3.3352066943022654
0.75,4.030303030303029,3.996879641164405
0.80,5.0,5.023145328312138
0.85,6.555555555555557,6.680300026067847
0.90,10.090909090909083,11.652584409702113
0.95,20.999999999999982,17.658446698687428
