0.05,0.002631578947368422,0.5029982010793523
0.10,0.011111111111111113,0.5114053357135773
0.15,0.026528295079531826,0.5283834086679075
0.20,0.05000000000000001,0.5551326068567448
0.25,0.08333333333333333,0.5807240111510646
0.30,0.12888424905592288,0.6307458295724268
0.35,0.18798405895180095,0.6803330102069909
0.40,0.2666666666666667,0.7678720445062587
0.45,0.36922168069709044,0.8726402611150318
0.50,0.5,1.013373357001815
0.55,0.6700616456714016,1.205967241503716
0.60,0.9127418765972987,1.4297249076801792
0.65,1.2025012025012025,1.7052851482400826
0.70,1.6262806960481386,2.1220229996992566
0.75,2.2784233310549094,2.758166448894696
0.80,3.2000000000000015,3.6983787891055626
0.85,4.708097928436914,5.292762144093312
0.90,8.19000819000818,10.138330465671311
0.95,19.047619047619026,16.221422639010083
